"Sparkle PIVOT Sample CFU plating data recording sheet. Manually enter your data in columns marked with a ⭐ (optional: †) and the other columns should auto-calculate appropriately. The data are sortable, and can be filtered using the dropdowns in each column.",,,,,,,,,,,,,,,,,,,,,
⭐,⭐,†,†,⭐,†,⭐,,⭐,⭐,⭐,⭐,⭐,†,,,,,,†,,
FDL-094B-T13,21C,,"3, 4",2,,0.1,1.90,EC,2022/09/30,1.00E+03,4,1,,1.00E+05,8.49E+04,1.90E+06,1.61E+06,84.9%,Re-Plated Samples,,
FDL-094B-T14,21C,,"3, 4",2,,0.1,1.90,EC,2022/09/30,1.00E+03,8,7,,3.00E+05,2.83E+04,5.70E+06,5.37E+05,9.4%,Re-Plated Samples,,
FDL-094B-T15,21C,,"3, 4",2,,0.1,1.90,EC,2022/09/30,1.00E+04,70,84,,3.08E+07,3.96E+06,5.85E+08,7.52E+07,12.9%,Re-Plated Samples,,
FDL-094B-T16,21C,,"3, 4",2,,0.1,1.90,EC,2022/09/30,1.00E+03,5,3,,1.60E+05,5.66E+04,3.04E+06,1.07E+06,35.4%,Re-Plated Samples,,
22GA0101,No dessicant mylar,,"5, 6",2,,0.3,5.70,EC,2022/09/29,1.00E+05,52,44,,1.92E+08,2.26E+07,3.65E+09,4.30E+08,11.8%,Crossover,,
22GA0101,No dessicant mylar,,"5, 6",2,,0.3,5.70,AW,2022/09/29,1.00E+05,37,38,,1.50E+08,2.83E+06,2.85E+09,5.37E+07,1.9%,Crossover,,
22PT0929-1,Broth,,"7, 8",2,,0.3,5.70,EC,2022/09/29,1.00E+08,30,38,,1.36E+11,2.26E+10,,,16.6%,Crossover,,
22PT0929-1,Broth,,"7, 8",2,,0.3,5.70,AW,2022/09/29,1.00E+08,49,35,,1.68E+11,3.96E+10,,,23.6%,Crossover,,
22PT0929-2,Broth,,"7, 8",2,,0.3,5.70,EC,2022/09/29,1.00E+08,34,37,,1.42E+11,8.49E+09,,,6.0%,Crossover,,
22PT0929-2,Broth,,"7, 8",2,,0.3,5.70,AW,2022/09/29,1.00E+08,35,39,,1.48E+11,1.13E+10,,,7.6%,Crossover,,
Cedar Rapids Klebsiella G2,CR seed vial,,"3, 4, 5, 6",3,,,,CL,2022/09/29,1.00E+06,131,130,103,4.85E+09,6.35E+08,#DIV/0!,#DIV/0!,13.1%,"No contam. on TSA, PDA",,
Cedar Rapids Kosakonia G2,CR seed vial,,"3, 4, 5, 6",3,,,,CL,2022/09/29,1.00E+06,134,90,110,4.45E+09,8.81E+08,#DIV/0!,#DIV/0!,19.8%,"No contam. on TSA, PDA",,
P080-22-Y013,Broth,,"7, 8",2,,0.3,5.70,EC,2022/09/29,1.00E+08,51,552,,1.21E+12,1.42E+12,,,117.5%,Crossover,,
P080-22-Y013,Broth,,"7, 8",2,,0.3,5.70,AW,2022/09/29,1.00E+08,34,66,,2.00E+11,9.05E+10,,,45.3%,Crossover,,
FDL-097EF-T19,FD,,"5, 6, 7",2,,0.3,5.70,EC,2022/09/27,1.00E+07,77,86,,3.26E+10,2.55E+09,6.19E+11,4.84E+10,7.8%,,,
FDL-097EF-T19,FD,,"5, 6, 7",2,,0.3,5.70,AW,2022/09/27,1.00E+07,78,75,,3.06E+10,8.49E+08,5.81E+11,1.61E+10,2.8%,,,
22GA0084,2.5% CaCl2 25 *C,,"4, 5",2,,0.2699,5.13,CL,2022/09/23,1.00E+05,74,71,,2.90E+08,8.49E+06,5.51E+09,1.61E+08,2.9%,,,
22GA0084,10% MS 25 *C,,"4, 5",2,,0.3220,6.12,CL,2022/09/23,1.00E+05,72,49,,2.42E+08,6.51E+07,4.60E+09,1.24E+09,26.9%,,,
22GA0086,2.5% CaCl2 25 *C,,"4, 5",2,,0.3036,5.77,CL,2022/09/23,1.00E+04,270,303,,1.15E+08,9.33E+06,2.18E+09,1.77E+08,8.1%,,,
22GA0086,10% MS 25 *C,,"4, 5",2,,0.2932,5.57,CL,2022/09/23,1.00E+04,213,167,,7.60E+07,1.30E+07,1.44E+09,2.47E+08,17.1%,,,
22GA0094,2.5% CaCl2 25 *C,,"4, 5",2,,0.2651,5.04,CL,2022/09/23,1.00E+04,58,60,,2.36E+07,5.66E+05,4.48E+08,1.07E+07,2.4%,,,
22GA0094,10% MS 25 *C,,"4, 5",2,,0.2522,4.79,CL,2022/09/23,1.00E+04,61,72,,2.66E+07,3.11E+06,5.05E+08,5.91E+07,11.7%,,,
T13,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,39,33,29,1.35E+10,2.01E+09,2.56E+11,3.83E+10,15.0%,,,
T13,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,32,40,31,1.37E+10,1.97E+09,2.61E+11,3.75E+10,14.4%,,,
T14,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+06,189,237,162,7.84E+09,1.52E+09,1.49E+11,2.89E+10,19.4%,,,
T14,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+06,235,196,148,7.72E+09,1.74E+09,1.47E+11,3.31E+10,22.6%,,,
T15,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,73,78,66,2.89E+10,2.41E+09,5.50E+11,4.58E+10,8.3%,,,
T15,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,74,77,106,3.43E+10,7.07E+09,6.51E+11,1.34E+11,20.6%,,,
T16,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,58,53,63,2.32E+10,2.00E+09,4.41E+11,3.80E+10,8.6%,,,
T16,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,79,73,56,2.77E+10,4.77E+09,5.27E+11,9.07E+10,17.2%,,,
T17,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,76,78,84,3.17E+10,1.67E+09,6.03E+11,3.16E+10,5.2%,,,
T17,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,93,93,190,5.01E+10,2.24E+10,9.53E+11,4.26E+11,44.7%,,,
T18,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,29,35,28,1.23E+10,1.51E+09,2.33E+11,2.88E+10,12.3%,,,
T18,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,36,35,38,1.45E+10,6.11E+08,2.76E+11,1.16E+10,4.2%,,,
T19,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,75,64,67,2.75E+10,2.27E+09,5.22E+11,4.32E+10,8.3%,,,
T19,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,60,64,66,2.53E+10,1.22E+09,4.81E+11,2.32E+10,4.8%,,,
T20,FD,,"5,6,7",3,,0.3,5.70,KH,2022/09/23,1.00E+07,70,80,81,3.08E+10,2.43E+09,5.85E+11,4.62E+10,7.9%,,,
T20,FD,,"5,6,7",3,,0.3,5.70,EC,2022/09/23,1.00E+07,91,86,68,3.27E+10,4.84E+09,6.21E+11,9.19E+10,14.8%,,,
22GA0100,2% CaCl2,,"4, 5",2,independent,0.3,5.70,EC,2022/09/22,1.00E+05,38,39,,1.54E+08,2.83E+06,2.93E+09,5.37E+07,1.8%,-7.0%,,
22GA0100,2% CaCl2,,"4, 5",2,,0.3,5.70,CL,2022/09/22,1.00E+05,40,43,,1.66E+08,8.49E+06,3.15E+09,1.61E+08,5.1%,Rel. to CL,,
22GA0100,10% MS,,"4, 5",2,independent,0.3,5.70,EC,2022/09/22,1.00E+05,39,33,,1.44E+08,1.70E+07,2.74E+09,3.22E+08,11.8%,9.9%,,
22GA0100,10% MS,,"4, 5",2,,0.3,5.70,CL,2022/09/22,1.00E+05,34,31,,1.30E+08,8.49E+06,2.47E+09,1.61E+08,6.5%,Rel. to CL,,
22GA0100,No dessicant mylar,,"4, 5",2,independent,0.3,5.70,EC,2022/09/22,1.00E+05,44,56,,2.00E+08,3.39E+07,3.80E+09,6.45E+08,17.0%,-51%,,
22GA0100,No dessicant mylar,,"4, 5",2,,0.3,5.70,CL,2022/09/22,1.00E+05,89,116,,4.10E+08,7.64E+07,7.79E+09,1.45E+09,18.6%,Rel. to CL,,
22GA0106,2% CaCl2,,"5, 6",2,,,0.00,,2022/09/22,,0,0,,0.00E+00,0.00E+00,#DIV/0!,#DIV/0!,#DIV/0!,"Need to re-plate, no growth at 10^5",,
22GA0106,10% MS,,"5, 6",2,,,0.00,,2022/09/22,,0,0,,0.00E+00,0.00E+00,#DIV/0!,#DIV/0!,#DIV/0!,"Need to re-plate, no growth at 10^5",,
22GA0100,10% MS ,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,70,64,69,2.71E+07,1.29E+06,5.14E+08,2.44E+07,4.8%,,,
22GA0101,2% CaCl2,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,104,121,115,4.53E+07,3.45E+06,8.61E+08,6.55E+07,7.6%,,,
22GA0101,10% MS ,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,46,43,42,1.75E+07,8.33E+05,3.32E+08,1.58E+07,4.8%,,,
22GA0101,2% CaCl2,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,232,228,192,8.69E+07,8.81E+06,1.65E+09,1.67E+08,10.1%,,,
22GA0105,10% MS ,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+05,127,133,123,5.11E+08,2.01E+07,9.70E+09,3.83E+08,3.9%,,,
22GA0105,2% CaCl2,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+05,141,133,135,5.45E+08,1.67E+07,1.04E+10,3.16E+08,3.1%,,,
22GA0106,10% MS ,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,2,1,3,8.00E+05,4.00E+05,1.52E+07,7.60E+06,50.0%,,,
22GA0106,2% CaCl2,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,3,3,3,1.20E+06,0.00E+00,2.28E+07,0.00E+00,0.0%,,,
22GA0057,10% MS ,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,21,18,24,8.40E+06,1.20E+06,1.60E+08,2.28E+07,14.3%,,,
22GA0057,2% CaCl2,,"4, 5",3,,0.3,5.70,EC,2022/10/12,1.00E+04,28,38,36,1.36E+07,2.12E+06,2.58E+08,4.02E+07,15.6%,,,
P080-22-Y025,Broth,,"7, 8",3,,,,EC,2022/10/13,1.00E+08,77,60,125,3.49E+11,1.35E+11,#DIV/0!,#DIV/0!,38.6%,pH = 6.97,,
A,Pivot FD,,"6, 7",2,,0.3,5.70,AW,2022/10/17,1.00E+07,99,58,,3.14E+10,1.16E+10,5.97E+11,2.20E+11,36.9%,AW plated and EC counted ,,
D,Pivot FD,,"6, 7",2,,0.3,5.70,AW,2022/10/17,1.00E+07,54,91,,2.90E+10,1.05E+10,5.51E+11,1.99E+11,36.1%,AW plated and EC counted ,,
EF,Pivot FD,,"6, 7",2,,0.3,5.70,AW,2022/10/17,1.00E+07,151,63,,4.28E+10,2.49E+10,8.13E+11,4.73E+11,58.2%,AW plated and EC counted ,,
A,Pivot FD,,7,3,,0.3,5.70,EC,2022/10/18,1.00E+07,64,69,57,2.53E+10,2.41E+09,4.81E+11,4.58E+10,9.5%,,,
D,Pivot FD,,7,3,,0.3,5.70,EC,2022/10/18,1.00E+07,81,79,76,3.15E+10,1.01E+09,5.98E+11,1.91E+10,3.2%,,,
EF,Pivot FD,,7,3,,0.3,5.70,EC,2022/10/18,1.00E+07,58,73,71,2.69E+10,3.26E+09,5.12E+11,6.19E+10,12.1%,,,
95C-T20,,,"6, 7",3,,0.1,1.90,EC,2022/10/18,1.00E+07,47,52,44,1.91E+10,1.62E+09,3.62E+11,3.07E+10,8.5%,,,
Streptomyces Unfiltered,,,"5, 6, 7",3,,,,EC,2022/10/17,1.00E+06,142,176,141,6.12E+09,7.97E+08,,,13.0%,,,
Streptomyces Filtered,,,"5, 6, 7",3,,,,EC,2022/10/17,1.00E+06,152,139,161,6.03E+09,4.42E+08,,,7.3%,,,
22GA0078,10% MS ,,"5, 6",3,,0.3,5.70,EC,2022/10/19,1.00E+06,42,32,30,1.39E+09,2.57E+08,2.63E+10,4.89E+09,18.5%,,,
22GA0078,2% CaCl2,,"5, 6",3,,0.3,5.70,EC,2022/10/19,1.00E+06,32,43,44,1.59E+09,2.66E+08,3.01E+10,5.06E+09,16.8%,,,
22GA0079,10% MS ,,"5, 6",3,,0.3,5.70,EC,2022/10/19,1.00E+05,80,114,97,3.88E+08,6.80E+07,7.37E+09,1.29E+09,17.5%,,,
22GA0079,2% CaCl2,,"5, 6",3,,0.3,5.70,EC,2022/20/19,1.00E+05,121,144,129,5.25E+08,4.67E+07,9.98E+09,8.87E+08,8.9%,,,
92A-T1,25C,,"2, 3",3,,0.1,1.90,EC,2022/10/20,1.00E+03,41,40,,1.08E+06,2.83E+04,2.05E+07,5.37E+05,1.7%,,,
92A-T4,25C,,"4, 5",2,,0.1,1.90,EC,2022/10/20,1.00E+05,100,90,,3.80E+08,2.83E+07,7.22E+09,5.37E+08,7.4%,,,
92A-T5,25C,,"2, 3",2,,0.1,1.90,EC,2022/10/20,1.00E+03,40,42,,1.64E+06,5.66E+04,3.12E+07,1.07E+06,3.4%,,,
94B-T16,25C,,"1, 2",2,,0.1,1.90,EC,2022/10/20,1.00E+01,218,238,,9.12E+04,5.66E+03,1.73E+06,1.07E+05,6.2%,,,
94B-T10,25C,,"1, 2",2,,0.1,1.90,EC,2022/10/20,1.00E+01,59,46,,2.10E+04,3.68E+03,3.99E+05,6.99E+04,17.5%,,,
94B-T11,25C, ,"2, 3",2,,0.1,1.90,EC,2022/10/20,1.00E+02,248,263,,1.02E+06,4.24E+04,1.94E+07,8.06E+05,4.2%,,,15200
94A-T2,25C,,"3, 4",3,,0.1,1.90,EC,2022/10/24,1.00E+03,1,1,5,9.33E+04,9.24E+04,1.77E+06,1.76E+06,99.0%,,,7220000000
94B-T13,25C,,"0, 1",3,,0.1,1.90,EC,2022/10/24,1.00E+00,243,198,244,9.13E+03,1.05E+03,1.74E+05,2.00E+04,11.5%,,,
94B-T14,25C,,0,3,,0.1,1.90,EC,2022/10/24,1.00E+00,450,466,461,1.84E+04,3.27E+02,3.49E+05,6.22E+03,1.8%,,,
94B-T15,25C,,"0, 1",3,,0.1,1.90,EC,2022/10/24,1.00E+01,482,442,440,1.82E+05,9.48E+03,3.46E+06,1.80E+05,5.2%,,,
92A-T2,25C,,"1, 2",3,,0.1,1.90,EC,2022/10/24,1.00E+01,4,1,1,8.00E+02,6.93E+02,1.52E+04,1.32E+04,86.6%,,,
92A-T7,25C,,"4, 5",3,,0.1,1.90,EC,2022/10/24,1.00E+05,31,36,43,1.47E+08,2.41E+07,2.79E+09,4.58E+08,16.4%,,,
90D-T14,25C,,"5, 6",3,,0.1,1.90,EC,2022/10/24,1.00E+05,152,146,154,6.03E+08,1.67E+07,1.15E+10,3.16E+08,2.8%,,,
92B-T9,25C,,0,3,,0.1,1.90,EC,2022/10/24,1.00E+00,238,221,236,9.27E+03,3.72E+02,1.76E+05,7.06E+03,4.0%,,,
T1,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/10/26,1.00E+07,43,69,48,2.13E+10,5.52E+09,4.05E+11,1.05E+11,25.9%,,,
T3,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/10/26,1.00E+07,45,49,64,2.11E+10,4.01E+09,4.00E+11,7.61E+10,19.0%,,,
T4,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/10/26,1.00E+06,230,279,224,9.77E+09,1.21E+09,1.86E+11,2.29E+10,12.3%,,,
T7,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/10/26,1.00E+07,32,29,33,1.25E+10,8.33E+08,2.38E+11,1.58E+10,6.6%,,,
22GA0084,2.5% CaCl2 25 *C,,"4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+05,94,121,101,4.21E+08,5.60E+07,8.01E+09,1.06E+09,13.3%,,,
22GA0084,10% MS 25 *C,,"4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+05,79,76,52,2.76E+08,5.92E+07,5.24E+09,1.12E+09,21.4%,,,
22GA0086,2.5% CaCl2 25 *C,,"4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+04,148,152,125,5.67E+07,5.83E+06,1.08E+09,1.11E+08,10.3%,,,
22GA0086,10% MS 25 *C,,"4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+04,136,164,162,6.16E+07,6.25E+06,1.17E+09,1.19E+08,10.1%,,,
22GA0094,2.5% CaCl2 25 *C,,"4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+04,30,25,22,1.03E+07,1.62E+06,1.95E+08,3.07E+07,15.7%,,,
22GA0094,10% MS 25 *C,,"4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+04,41,52,52,1.93E+07,2.54E+06,3.67E+08,4.83E+07,13.1%,,,
22GA0136,21C,,"3, 4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+03,0,0,2,2.67E+04,4.62E+04,5.07E+05,8.78E+05,173.2%,,,
22GA0137,21C,,"3, 4, 5",3,,0.1,1.90,EC,2022/10/27,1.00E+05,69,69,75,2.84E+08,1.39E+07,5.40E+09,2.63E+08,4.9%,,,
Y033,40h,,"7, 8",3,,0.1,1.90,EC,2022/11/03,1.00E+08,81,50,78,2.79E+11,6.84E+10,5.29E+12,1.30E+12,24.5%,,,
Y033,48h,,"7, 8",3,,0.1,1.90,EC,2022/11/03,1.00E+08,52,60,55,2.23E+11,1.62E+10,4.23E+12,3.07E+11,7.3%,,,
Y034,40h,,"7, 8",3,,0.1,1.90,EC,2022/11/03,1.00E+08,50,44,45,1.85E+11,1.29E+10,3.52E+12,2.44E+11,6.9%,,,
Y034,48h,,"7, 8",3,,0.1,1.90,EC,2022/11/03,1.00E+08,32,43,53,1.71E+11,4.20E+10,3.24E+12,7.98E+11,24.6%,,,
Y035,40h,,"7, 8",3,,0.1,1.90,EC,2022/11/03,1.00E+08,160,99,93,4.69E+11,1.48E+11,8.92E+12,2.82E+12,31.6%,,,
Y036,40h,,"7, 8",3,,0.1,1.90,EC,2022/11/03,1.00E+08,101,111,91,4.04E+11,4.00E+10,7.68E+12,7.60E+11,9.9%,,,
92B-T9,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/03,1.00E+01,51,48,,1.98E+04,8.49E+02,3.76E+05,1.61E+04,4.3%,,,
92B-T10,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/03,1.00E+02,283,300,,1.17E+06,4.81E+04,2.22E+07,9.14E+05,4.1%,,,
92B-T11,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/03,1.00E+02,47,43,,1.80E+05,1.13E+04,3.42E+06,2.15E+05,6.3%,,,
92B-T12,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/03,1.00E+02,151,168,,6.38E+05,4.81E+04,1.21E+07,9.14E+05,7.5%,,,
95A-T5,21C,,"0, 1",2,,0.1,1.90,EC,2022/11/03,1.00E+00,28,23,,1.02E+03,1.41E+02,1.94E+04,2.69E+03,13.9%,,,
95A-T8,21C,,"0, 1",2,,0.1,1.90,EC,2022/11/03,1.00E+01,86,70,,3.12E+04,4.53E+03,5.93E+05,8.60E+04,14.5%,,,
94A-T2,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/03,1.00E+01,572,585,,2.31E+05,3.68E+03,4.40E+06,6.99E+04,1.6%,,,
92A-T1,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/03,1.00E+03,66,76,,2.84E+06,2.83E+05,5.40E+07,5.37E+06,10.0%,,,
92A-T2,21C,,"0, 1",2,,0.1,1.90,EC,2022/11/03,1.00E+01,43,58,,2.02E+04,4.24E+03,3.84E+05,8.06E+04,21.0%,,,
92A-T4,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/03,1.00E+05,572,604,,2.35E+09,9.05E+07,4.47E+10,1.72E+09,3.8%,,,
92A-T5,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/03,1.00E+03,272,267,,1.08E+07,1.41E+05,2.05E+08,2.69E+06,1.3%,,,
92A-T7,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/03,1.00E+03,318,323,,1.28E+07,1.41E+05,2.44E+08,2.69E+06,1.1%,,,
95C-T17,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,382,373,,1.51E+09,2.55E+07,2.87E+10,4.84E+08,1.7%,,,
95C-T22,21C,,"3, 4",2,,0.1,1.90,EC,2022/11/04,1.00E+04,45,55,,2.00E+07,2.83E+06,3.80E+08,5.37E+07,14.1%,,,
95C-T21,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,39,29,,1.36E+08,2.83E+07,2.58E+09,5.37E+08,20.8%,,,
95C-T20,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,59,45,,2.08E+08,3.96E+07,3.95E+09,7.52E+08,19.0%,,,
95C-T18,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,588,557,,2.29E+09,8.77E+07,4.35E+10,1.67E+09,3.8%,,,
95C-T19,21C,,"3, 4",2,,0.1,1.90,EC,2022/11/04,1.00E+03,48,50,,1.96E+06,5.66E+04,3.72E+07,1.07E+06,2.9%,,,
97B-T9,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+02,26,27,,1.06E+05,2.83E+03,2.01E+06,5.37E+04,2.7%,,,
97B-T13,21C,,"3, 4",2,,0.1,1.90,EC,2022/11/04,1.00E+03,104,37,,2.82E+06,1.90E+06,5.36E+07,3.60E+07,67.2%,,,
97C-T17,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+03,529,505,,2.07E+07,6.79E+05,3.93E+08,1.29E+07,3.3%,,,
95D-T27,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+02,862,814,,3.35E+06,1.36E+05,6.37E+07,2.58E+06,4.1%,,,
95D-T28,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+01,136,138,,5.48E+04,5.66E+02,1.04E+06,1.07E+04,1.0%,,,
95D-T31,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+01,100,117,,4.34E+04,4.81E+03,8.25E+05,9.14E+04,11.1%,,,
97A-T2,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+01,192,194,,7.72E+04,5.66E+02,1.47E+06,1.07E+04,0.7%,,,
97A-T6,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+03,386,380,,1.53E+07,1.70E+05,2.91E+08,3.22E+06,1.1%,,,
97A-T4,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+02,183,203,,7.72E+05,5.66E+04,1.47E+07,1.07E+06,7.3%,,,
97A-T7,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+03,447,479,,1.85E+07,9.05E+05,3.52E+08,1.72E+07,4.9%,,,
